Source_Store,Category,Title,Price,Stock,URL
Nanotek,Power Banks Laptop Bags Accessories,SHARGE SP170 SHARGEEK 24000MAH - 170W,"25,000 LKR",In Stock,https://www.nanotek.lk/product/sharge-sp170-shargeek-24000mah-170w
Nanotek,Power Banks Laptop Bags Accessories,ANKER 30W ZOLO PD 3.0 C-C CHARGER BLACK - B2698K11,"5,500 LKR",In Stock,https://www.nanotek.lk/product/anker-30w-zolo-pd-30-c-c-charger-black-b2698k11
Nanotek,Power Banks Laptop Bags Accessories,ANKER 100W NANO CHARGER WITH C-C CABLE - B2679K11,"14,000 LKR",In Stock,https://www.nanotek.lk/product/anker-100w-nano-charger-with-c-c-cable-b2679k11
Nanotek,Power Banks Laptop Bags Accessories,FANTECH NS12 LAPTOP STAND,"4,500 LKR",In stock,https://www.nanotek.lk/product/fantech-ns12-laptop-stand
Nanotek,Television Tv,"Samsung 75"" DU7700 Crystal 4K UHD Smart TV","599,000 LKR",In Stock,https://www.nanotek.lk/product/samsung-75-du7700-crystal-4k-uhd-smart-tv
Nanotek,Television Tv,"Samsung 65"" DU7700 Crystal 4K UHD Smart TV","379,000 LKR",Out of Stock,https://www.nanotek.lk/product/samsung-65-du7700-crystal-4k-uhd-smart-tv
Nanotek,Television Tv,"Samsung 43"" DU7500 Crystal 4K UHD Smart TV","189,000 LKR",Out of Stock,https://www.nanotek.lk/product/samsung-43-du7500-crystal-4k-uhd-smart-tv
Nanotek,Television Tv,"Samsung 55"" DU7500 Crystal 4K UHD Smart TV","269,000 LKR",Out of Stock,https://www.nanotek.lk/product/samsung-55-du7500-crystal-4k-uhd-smart-tv
Nanotek,Monitors Monitor Arms,"ASUS ROG Strix 27” XG27ACMES 2K USB-C 255Hz, 0.3ms, Fast IPS G-Sync","119,500 LKR",Out of Stock,https://www.nanotek.lk/product/asus-rog-strix-27-xg27acmes-2k-usb-c-255hz-03ms-fast-ips-g-sync
Nanotek,Monitors Monitor Arms,"ASUS ROG Swift OLED PG34WCDM 34"" 240HZ  3440 x 1440 Type-C Monitor","499,000 LKR",Out of Stock,https://www.nanotek.lk/product/asus-rog-swift-oled-pg34wcdm-34-240hz-3440-x-1440-type-c-monitor
Nanotek,Monitors Monitor Arms,"ASUS PROART PA278QGV 27"" IPS 2K 120HZ HDR-10 CALMAN VERIFIED PROFESSIONAL MONITOR","125,000 LKR",Out of Stock,https://www.nanotek.lk/product/asus-proart-pa278qgv-27-ips-2k-120hz-hdr-10-calman-verified-professional-monitor
Nanotek,Monitors Monitor Arms,"Asus ProArt 24"" PA248QFV 1080P 100Hz Professional Monitor","92,500 LKR",In Stock,https://www.nanotek.lk/product/asus-proart-24-pa248qfv-1080p-100hz-professional-monitor
Nanotek,Monitors Monitor Arms,"MSI PRO 16"" MP165 E6 PORTABLE ULTRA SLIM BUISNESS MONITOR","41,500 LKR",In Stock,https://www.nanotek.lk/product/msi-pro-16-mp165-e6-portable-ultra-slim-buisness-monitor
Nanotek,Monitors Monitor Arms,"ASUS 15.6"" ZenScreen MB169CK IPS 1080P Portable Monitor","44,500 LKR",Out of Stock,https://www.nanotek.lk/product/asus-156-zenscreen-mb169ck-ips-1080p-portable-monitor
Nanotek,Monitors Monitor Arms,"ASUS TUF GAMING VG279QE5A 27"" FHD IPS 146HZ","46,000 LKR",Out of Stock,https://www.nanotek.lk/product/asus-tuf-gaming-vg279qe5a-27-fhd-ips-146hz
Nanotek,Monitors Monitor Arms,"ASUS VY279HGR 27"" IPS FHD 120HZ EYE CARE MONITOR","45,000 LKR",Out of Stock,https://www.nanotek.lk/product/asus-vy279hgr-27-ips-fhd-120hz-eye-care-monitor
Nanotek,Monitors Monitor Arms,"Asus ROG Strix 30"" XG309CM 2560x1080 Ultra Wide 220Hz","147,000 LKR",In Stock,https://www.nanotek.lk/product/asus-rog-strix-30-xg309cm-2560x1080-ultra-wide-220hz
Nanotek,Monitors Monitor Arms,"ASUS ProArt PA328CGV 32"" 2560 x 1440 165 Hz 100% sRGB Calman Verified, USB-C","254,000 LKR",In Stock,https://www.nanotek.lk/product/asus-proart-pa328cgv-32-2560-x-1440-165-hz-100-srgb-calman-verified-usb-c
Nanotek,Monitors Monitor Arms,"ASUS 27"" PA278QV 1440P IPS PROART DISPLAY CALMAN VERIFIED PROFESSIONAL MONITOR","121,500 LKR151,000 LKR",In Stock,https://www.nanotek.lk/product/asus-27-pa278qv-1440p-ips-proart-display-calman-verified-professional-monitor
Nanotek,Monitors Monitor Arms,"ASUS ROG STRIX OLED XG27AQWMG 27"" 2K W-OLED 280Hz GAMING MONITOR","209,000 LKR",Out of Stock,https://www.nanotek.lk/product/asus-rog-strix-oled-xg27aqwmg-27-2k-w-oled-280hz-gaming-monitor
Nanotek,Processor,AMD Ryzen 5 3400G (Up To 4.2GHz Cores 4 - Threads 8) 4M Cache,"27,000 LKR",In Stock,https://www.nanotek.lk/product/amd-ryzen-5-3400g-up-to-42ghz-cores-4-threads-8-4m-cache-1
Nanotek,Processor,"Intel Core Ultra 7 270K Plus (36M Cache, up to 5.50 GHz)","118,000 LKR",In Stock,https://www.nanotek.lk/product/intel-core-ultra-7-270k-plus-36m-cache-up-to-550-ghz-1
Nanotek,Processor,AMD Ryzen 5 5500 (up to 4.2Ghz 6-cores 12-threads) 16M Cache,"36,500 LKR",In Stock,https://www.nanotek.lk/product/amd-ryzen-5-5500-up-to-42ghz-6-cores-12-threads-16m-cache
Nanotek,Processor,AMD RYZEN 7 5700X (UP TO 4.6GHZ 8-CORES 16-THREADS) 36M CACHE,"58,000 LKR",Out of Stock,https://www.nanotek.lk/product/amd-ryzen-7-5700x-up-to-46ghz-8-cores-16-threads-36m-cache
Nanotek,Processor,"INTEL CORE I5 12400F (18M CACHE, UP TO 4.40 GHZ)","55,000 LKR",In Stock,https://www.nanotek.lk/product/intel-core-i5-12400f-18m-cache-up-to-440-ghz-1
Nanotek,Processor,"INTEL CORE I5 12400 (18M CACHE, UP TO 4.40 GHZ)","72,000 LKR",Out of Stock,https://www.nanotek.lk/product/intel-core-i5-12400-18m-cache-up-to-440-ghz-1
