Title,Price,Stock,URL
HAVIT CB6255 MOBILE SERIES USB CABLE,"Rs:1,500.00or 3 XRs:560.00with",In Stock,https://mdcomputers.lk/product/havit-cb6255-mobile-series-usb-cable/
HAVIT MS72 PC SERIES-USB MOUSE BLACK,"Rs:1,500.00or 3 XRs:560.00with",In Stock,https://mdcomputers.lk/product/havit-ms72-pc-series-usb-mouse-black/
FULL WHITE RGB FAN C08,"Rs:1,500.00or 3 XRs:560.00with",In Stock,https://mdcomputers.lk/product/full-white-rgb-fan-c08/
RGB COOLING FAN C020,"Rs:1,500.00or 3 XRs:560.00with",In Stock,https://mdcomputers.lk/product/rgb-cooling-fan-c020/
LB-LINK BL-CH440 USB-C 4 IN 1 HUB ADAPTER,"Rs:1,500.00Rs:1,900.00or 3 XRs:560.00with",In Stock,https://mdcomputers.lk/product/lb-link-bl-ch440-usb-c-4-in-1-hub-adapter-s/
AURA RGB CASING FAN,"Rs:1,500.00Rs:1,800.00or 3 XRs:560.00with",In Stock,https://mdcomputers.lk/product/aura-rgb-casing-fan/
CON 403 – UGREEN 3M Cat 6 UTP NETWORK CABLE  – NW102 – 11203 – 1 Year Warranty,"Rs:1,500.00Rs:2,500.00or 3 XRs:560.00with",In Stock,https://mdcomputers.lk/product/con-403-ugreen-3m-cat-6-utp-network-cable-nw102-11203-1-year-warranty/
ARGB CABLE WITH REMOTE CONTROLLER,"Rs:1,500.00or 3 XRs:560.00with",In Stock,https://mdcomputers.lk/product/argb-cable-with-remote-controller/
HAVIT MS626GT MOUSE BLACK & GRAY (1y),"Rs:1,550.00Rs:1,800.00or 3 XRs:578.67with",In Stock,https://mdcomputers.lk/product/havit-ms626gt-mouse-black-gray-1y/
BASEUS NIMBLE TYPE-C 23CM PORTABLE SHORT BLACK CABLE ( CATMBJ-01 ),"Rs:1,550.00Rs:1,700.00or 3 XRs:578.67with",In Stock,https://mdcomputers.lk/product/baseus-nimble-type-c-23cm-portable-short-black-cable-catmbj-01/
CON329 -BASEUS SILKY SERIES 100W USB TO TYPE C 1M CABLE  ( CLUSTER BLACK ) 01 YEAR WARRANTY,"Rs:1,600.00or 3 XRs:597.33with",In Stock,https://mdcomputers.lk/product/con329-baseus-silky-series-100w-usb-to-type-c-1m-cable-cluster-black-01-year-warranty/
CON 406 – UGREEN 1M Cat 7 Round Braided NETWORK CABLE  – NW150 – 80421 – 1 Year Warranty,"Rs:1,600.00Rs:2,500.00or 3 XRs:597.33with",In Stock,https://mdcomputers.lk/product/con-406-ugreen-1m-cat-7-round-braided-network-cable-nw150-80421-1-year-warranty/
THERMAL PAD – 100 x 100 x 0.5mm,"Rs:1,600.00Rs:2,500.00or 3 XRs:597.33with",In Stock,https://mdcomputers.lk/product/thermal-pad-100-x-100-x-0-5mm/
JEDEL GM850 LED GAMING LIGHTING MOUSE,"Rs:1,700.00or 3 XRs:634.67with",In Stock,https://mdcomputers.lk/product/usb-mouse-jedel-gm-850/
MEETION M915 BRAND NEW MOUSE,"Rs:1,700.00Rs:2,000.00or 3 XRs:634.67with",In Stock,https://mdcomputers.lk/product/meetion-m915-mouse/
ALCATROZ AIRMOUSE V WIRELESS MOUSE,"Rs:1,700.00Rs:1,900.00or 3 XRs:634.67with",In Stock,https://mdcomputers.lk/product/alcatroz-airmouse-v-wireless-mouse/
THERMAL PAD – 100 x 100 x 1.0mm,"Rs:1,700.00Rs:2,600.00or 3 XRs:634.67with",In Stock,https://mdcomputers.lk/product/thermal-pad-100-x-100-x-1-0mm/
EF-12 PRO RGB FAN,"Rs:1,700.00or 3 XRs:634.67with",In Stock,https://mdcomputers.lk/product/ef-12-pro-rgb-fan/
DP TO VGA CONVERTERS.,"Rs:1,800.00or 3 XRs:672.00with",In Stock,https://mdcomputers.lk/product/dp-to-vga-converters/
Intel® Core™ i3-3RD GEN USED PROCESSOR,"Rs:1,800.00Rs:3,000.00or 3 XRs:672.00with",In Stock,https://mdcomputers.lk/product/intel-core-i3-3220-use-processor/
DELL MS116 OPTICAL USB WIRED MOUSE,"Rs:1,800.00Rs:2,000.00or 3 XRs:672.00with",In Stock,https://mdcomputers.lk/product/dell-optical-usb-wired-mouse-ms116-1y/
MEETION K200 STANDARD USB CHOCOLATE KEYBOARD,"Rs:1,800.00or 3 XRs:672.00with",In Stock,https://mdcomputers.lk/product/meetion-k200-standard-usb-chocolate-keyboard/
14 INCH LAPTOP POUCH,"Rs:1,800.00or 3 XRs:672.00with",In Stock,https://mdcomputers.lk/product/14-inch-laptop-pouch/
14 INCH LAPTOP POUCH,"Rs:1,800.00Rs:2,000.00or 3 XRs:672.00with",In Stock,https://mdcomputers.lk/product/14-inch-laptop-pouch-2/
DVI TO VGA WIRED CONVERTER,"Rs:1,800.00Rs:2,500.00or 3 XRs:672.00with",In Stock,https://mdcomputers.lk/product/dvi-to-vga-wired-converter/
BASEUS NIMBLE PROTABLE CABLE FOR APPLE 23cm BLACK ( CALMBJ-B01 ),"Rs:1,800.00or 3 XRs:672.00with",In Stock,https://mdcomputers.lk/product/baseus-nimble-protable-cable-for-apple-23cm-black-calmbj-b01/
BASEUS 1METER CAFULE USB FOR TYPE-C 3A GRAY+BLACK CABLE ( CATKLF-BG1 ),"Rs:1,800.00or 3 XRs:672.00with",In Stock,https://mdcomputers.lk/product/baseus-1meter-cafule-usb-for-type-c-3a-grayblack-cable-catklf-bg1/
Baseus Type-C to USB A Ingenuity Series Mini OTG Adaptor 3.1,"Rs:1,800.00or 3 XRs:672.00with",In Stock,https://mdcomputers.lk/product/baseus-type-c-to-usb-a-ingenuity-series-mini-otg-adaptor-3-1/
THERMAL PAD – 100 x 100 x 2.0mm,"Rs:1,800.00Rs:2,700.00or 3 XRs:672.00with",In Stock,https://mdcomputers.lk/product/thermal-pad-100-x-100-x-2-0mm/
CON 317 – UGREEN 1 METER 3AMP TYPE-C TO USB QC3.0 FAST CHARGING CABLE – US287 – 60116 ( 1 Year Warranty ),"Rs:1,850.00or 3 XRs:690.67with",In Stock,https://mdcomputers.lk/product/ugreen-1-meter-3amp-type-c-to-usb-qc3-0-fast-charging-cable-us287-60116-1-year-warranty/
CON 348-UGREEN 1.5 METER 3.5MM MALE to 3.5MM MALE AUDIO CABLE– AV119 – 10734 – (1 Year Warranty),"Rs:1,850.00or 3 XRs:690.67with",In Stock,https://mdcomputers.lk/product/con-348-ugreen-1-5-meter-3-5mm-male-to-3-5mm-male-audio-cable-av119-10734-1-year-warranty/
AMIDA 12A TONER (Q2612A),"Rs:1,900.00Rs:2,200.00or 3 XRs:709.33with",In Stock,https://mdcomputers.lk/product/ecoplus-compatible-12a-q2612a-toner/
MEETION R545 BRAND NEW WIRELESS MOUSE,"Rs:1,900.00or 3 XRs:709.33with",In Stock,https://mdcomputers.lk/product/meetion-r545-wireless-mouse/
Amida 85A/435A/436A/278A Compatible Toner,"Rs:1,900.00or 3 XRs:709.33with",In Stock,https://mdcomputers.lk/product/amida-ce285a-cb435a-cb436a-ce278a-compatible-toner/
FALCON RGB 314 FAN,"Rs:1,900.00Rs:2,500.00or 3 XRs:709.33with",In Stock,https://mdcomputers.lk/product/rgb-fan/
X- BRAND CO29 ARGB COOLING FAN,"Rs:1,900.00or 3 XRs:709.33with",In Stock,https://mdcomputers.lk/product/x-brand-co29-rgb-cooling-fan/
ALCATROZ X-CRAFT CYPHER GAMING MOUSE,"Rs:1,900.00Rs:2,100.00or 3 XRs:709.33with",In Stock,https://mdcomputers.lk/product/alcatroz-x-craft-cypher-gaming-mouse/
THERMAL PAD – 100 x 100 x 3.0mm,"Rs:1,900.00Rs:2,800.00or 3 XRs:709.33with",In Stock,https://mdcomputers.lk/product/thermal-pad-100-x-100-x-3-0mm/
